=== Complete Symbol Inventory ===

Category        Symbol Name                                   Entities   Types                Layers
--------------------------------------------------------------------------------------------------------------------------------------------
equipments      0_tank-general-basin                          10         LINE                 DEFAULT_255_2_778
equipments      100_scale-weighing-platform-floor             20         LINE                 DEFAULT_255_2_778
equipments      101_misc-bulk-storage                         10         LINE                 DEFAULT_255_2_778
equipments      102_misc-stack-chimney                        10         LINE                 DEFAULT_255_2_778
equipments      103_misc-gas-flare                            12         LINE                 DEFAULT_255_2_778
equipments      104_misc-general-electrolysis-cell            22         LINE                 DEFAULT_255_2_778
equipments      105_misc-general-hood                         8          LINE                 DEFAULT_255_2_778
equipments      10_vessel-full-tube-coil                      40         LINE                 DEFAULT_255_2_778
equipments      11_vessel-semi-tube-coil                      24         LINE                 DEFAULT_255_2_778
equipments      12_vessel-jacketed                            112        ARC, LINE            DEFAULT_255_2_778
equipments      13_storage-container                          44         LINE                 DEFAULT_255_2_778
equipments      14_storage-bag                                16         LINE                 DEFAULT_255_2_778
equipments      15_storage-barrel-drum                        12         LINE                 DEFAULT_255_2_778
equipments      16_storage-gas-cylinder                       16         LINE                 DEFAULT_255_2_778
equipments      17_furnace-industrial                         56         ARC, LINE            DEFAULT_255_2_778
equipments      18_pump                                       46         ARC, LINE            DEFAULT_255_2_778
equipments      19_compressor                                 46         ARC, LINE            DEFAULT_255_2_778
equipments      1_tank-floating-roof                          12         LINE                 DEFAULT_255_2_778
equipments      20_blower                                     206        ARC, LINE            DEFAULT_255_2_778
equipments      21_heat-exchanger-general-1                   50         ARC, LINE            DEFAULT_255_2_778
equipments      22_heat-exchanger-general-2                   52         ARC, LINE            DEFAULT_255_2_778
equipments      23_heat-exchanger-general-cooling-tower       14         LINE                 DEFAULT_255_2_778
equipments      24_heat-exchanger-spiral                      114        ARC, LINE            DEFAULT_255_2_778
equipments      25_heat-exchanger-double-pipe                 10         LINE                 DEFAULT_255_2_778
equipments      26_heat-exchanger-plate-type                  18         LINE                 DEFAULT_255_2_778
equipments      27_heat-exchanger-finned-tube                 18         LINE                 DEFAULT_255_2_778
equipments      28_heat-exchanger-tube-bundle-u-tube          18         LINE                 DEFAULT_255_2_778
equipments      29_heat-exchanger-shell-and-tube-bundle-u-tube 26         LINE                 DEFAULT_255_2_778
equipments      2_vessel-general-column                       12         LINE                 DEFAULT_255_2_778
equipments      30_heat-exchanger-tube-bundle-floating-head   20         LINE                 DEFAULT_255_2_778
equipments      31_heat-exchanger-floating-head-tube-bundle   28         LINE                 DEFAULT_255_2_778
