notification_no,work_order_no,notification_date,order_created_date,completion_date,functional_location,equipment_tag,equipment_description,equipment_class,priority,status,craft,process_upset,failure_mode,failure_code,cause_code,outage_required,labor_hours,material_cost_usd,notification_short_text,notification_long_text
10450001,40870001,2021-06-05,2021-06-05,2021-06-06,U400-DEETHANIZER-500,PT-501,column overhead pressure tx,instrument,P1,TECO,INST,pressure_control_fault,range err,SPAN,CAL,N,9.9,4087.64,PT-501 not ok after pressure control fault,"A shift called for PT-501 column overhead pressure tx, pshh close call seen during pressure control fault. Foud range err; span shifted. opened strainer, cleaned black sludge. ops says ok for now. notif made by ops, maint attended same shift."
10450002,40870002,2021-06-06,2021-06-06,2021-06-07,U400-DEETHANIZER-500,TV-501,reboiler hot medium valve,control_valve,P3,COMP,MECH,feed_temperature_ramp,not stroking,NO_TRAVEL,ACT,N,1.4,3255.54,TV-501 not stroking again,"A shift called for TV-501 reboiler hot medium valve, spec off seen during feed temperature ramp. Foud not stroking; actuator weak. Line was hot so job done slow and with ops standing by. swapped to standby and repaired. unit stable now. notif made by ops, maint attended same shift."
10450003,40870003,2021-06-05,2021-06-06,2021-06-08,U400-DEETHANIZER-500,LV-501,reflux drum level valve,control_valve,P2,COMP,MECH,reboiler_duty_loss,not stroking,NO_TRAVEL,ACT,N,9.1,152.12,LV-501 not stroking bad,"B shift called for LV-501 reflux drum level vavle, rb circ cold seen during rebiler duty loss. Foud not stroking; actuator weak. No spare in store at first, used refurb one from shop. calibrated, loop checked with CCR. unit stable now. notif made by ops, maint attended same shift."
10450004,40870004,2021-06-10,2021-06-10,2021-06-12,U400-DEETHANIZER-500,TV-501,reboiler hot medium valve,control_valve,P4,CLSD,ANLYZR,feed_composition_shift,stiction,STICK,PACKING,N,10.3,2664.87,TV-501 not ok after feed composition shift,"night called for TV-501 reboiler hot medium valve, btm heavy seen during feed composition shift. Foud stiction; stem sticky and pos err. stroke tested, response better. unit stable now. notif made by ops, maint attended same shift."
10450005,40870005,2021-06-11,2021-06-13,2021-06-13,U400-DEETHANIZER-500,FV-502,reflux flow control valve,control_valve,P4,CLSD,E&I,reflux_pump_degradation,not stroking,NO_TRAVEL,ACT,N,1.9,5830.13,"FV-502 not stroking again, prod upset","B shift called for FV-502 reflux flow control valve, seal weep seen during reflux pump degradation. Foud not stroking; actuator weak. replaced positioner tubing and retuned small. no leak at handover. notif made by ops, maint attended same shift."
10450006,40870006,2021-06-10,2021-06-10,2021-06-15,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P3,COMP,ANLYZR,reboiler_duty_loss,loose wire,SIGNAL,ELEC,N,4.6,6446.42,"TT-501B loose wire again, prod upset","A shift called for TT-501B sensitive tray temperature tx, tray temp low seen during reboiler duty loss. Foud loose wire; term loose. tightened fittings, leak test ok. still little hunting but acceptable. notif made by ops, maint attended same shift."
10450007,40870007,2021-06-09,2021-06-09,2021-06-11,U400-DEETHANIZER-500,LV-501,reflux drum level valve,control_valve,P3,TECO,VALVE,valve_stiction,hunting loop,CTRL_OSC,TUNE,N,3.3,3281.42,"LV-501 loop cycling, hunting loop","A shift called for LV-501 reflux drum level valve, position bad seen during valve stiction. Foud hunting loop; bad response after upset. changed gasket and boxed up. readng close to dcs after job. notif made by ops, maint attended same shift."
10450008,40870008,2021-06-12,2021-06-12,2021-06-13,U400-DEETHANIZER-500,P-501A,reflux pump A,pump,P2,CLSD,OPS+MECH,feed_composition_shift,seal leak,MECH_SEAL,SEAL,Y,20.2,12526.67,"P-501A seal leak again, prod upset","A shift called for P-501A reflux pump A, c3 in feed hi seen during feed composition shift. Foud seal leak; seal face worn / dry run signs. Tag plate dirty, confirmd by line up with panel. opened strainer, cleaned black sludge. no leak at handover. notif made by ops, maint attended same shift."
10450009,40870009,2021-06-14,2021-06-14,2021-06-28,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P2,COMP,INST,feed_temperature_ramp,circ poor,NO_FLOW,PLUG,N,3.6,4098.12,E-501 circ poor asap,"C shift called for E-501 deethanizer reboiler, tray temp drift seen during feed temp ramp. Foud circ poor; blocked inlet screen. Could not get permit first time waiting area gas test. calibrated, loop checked with CCR. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450010,40870010,2021-06-15,2021-06-15,2021-06-17,U400-DEETHANIZER-500,TT-501B,sensitive tray temperature tx,instrument,P3,TECO,ANLYZR,reboiler_duty_loss,no signal,NO_SIGNAL,ELEC,N,11.7,6224.52,TT-501B no signal asap,"B shift called for TT-501B sensitive tray temp tx, rb circ cold seen during rebiler duty loss. Foud no signal; 24v or card issue. flushed impulse/sample line. unit stable now. notif made by ops, maint attended same shift."
10450011,40870011,2021-06-16,2021-06-16,2021-06-19,U400-DEETHANIZER-500,E-501,deethanizer reboiler,reboiler,P3,COMP,MECH,reboiler_duty_loss,rb leak,LEAK,GASKET,N,4.1,10350.57,E-501 rb leak ops req,"B shift called for E-501 deethanizer reboiler, rb circ cold seen during reboiler duty loss. Foud rb leak; channel flange weep. Tag plate dirty, confirmd by line up with panel. calibrated, loop checked with CCR. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450012,40870012,2021-06-20,2021-06-20,2021-07-04,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P4,COMP,ROT,feed_flow_step,tv no travel,VALVE,STICK,N,8.8,3820.8,E-502 not ok after feed flow step,"night called for E-502 deethanizer overhead condenser, fic hunting seen during feed flow step. Foud tv no travel; cooling valve stuck. History shows same complain last mnth. reset trip and monitored for 2 hrs. temp repair only, plan shutdown job. notif made by ops, maint attended same shift."
10450013,40870013,2021-06-21,2021-06-21,2021-07-05,U400-DEETHANIZER-500,E-502,deethanizer overhead condenser,condenser,P1,COMP,OPS+MECH,condenser_fouling,cw fouling,FOULING,UTILITY,N,16.7,6597.97,E-502 not ok after condenser fouling,"night called for E-502 deethanizer overhead condenser, cw dt low seen during condenser fouling. Foud cw fouling; cw side scaled. swapped to standby and repaired. readng close to dcs after job. notif made by ops, maint attended same shift."
10450014,40870014,2021-06-23,2021-06-23,2021-06-25,U400-DEETHANIZER-500,E-503,feed bottoms exchanger,exchanger,P2,TECO,INST,feed_flow_step,tube fouling,FOULING,PROCESS,N,15.2,11772.15,chk E-503 - tube fouling frm ops,"night called for E-503 feed bottoms exchanger, lvl swing seen during feed flow step. Foud tube fouling; duty low, delta t poor. flushed impulse/sample line. still little hunting but acceptable. notif made by ops, maint attended same shift."
